Kab/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (ribu rupiah/orang/tahun)
,2022
Kep Seribu,12999
Jakarta Selatan,24221
Jakarta Timur,18199
Jakarta Pusat,17765
Jakarta Barat,21357
Jakarta Utara,19201
DKI Jakarta,18927
